Nested Sampling Global Log-Evidence           :   -0.733354349469195199E-15  +/-    0.135402580243989002E-08
Nested Importance Sampling Global Log-Evidence:   -0.733354349469195199E-15  +/-                         NaN

Dim No.       Mean        Sigma
   1    0.306050442546603172E+02    0.590711302955955908E+01
   2    0.236419730156657657E+02    0.577041972823713856E+01
   3    0.110154566976939671E-04    0.212881792486039564E-04
   4    0.514788209944960471E+02    0.288787758775179384E+02
   5    0.486369413137430540E+00    0.289252807256567990E+00
   6    0.918073566019524918E+02    0.512637949101082242E+02
   7    0.260644772067663339E+02    0.175718232086931048E+01
   8    0.179264889460800028E+02    0.115984066905348682E+01
   9    0.146696857571600372E+02    0.564678286910133931E+01
  10    0.993811380501219421E-01    0.203287775359231426E+00
  11    0.918463748037806340E+02    0.530707546216269890E+02
  12    0.477780038118357731E+00    0.296146333943304974E+00
  13    0.882940996170035106E+02    0.516139808978774539E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.293237648010253906E+02
   2    0.246313600540161133E+02
   3    0.400180626365168927E-05
   4    0.966994285583496094E+02
   5    0.291138350963592529E+00
   6    0.544685840606689453E+02
   7    0.288229928016662598E+02
   8    0.173823626041412354E+02
   9    0.229958057403564453E+02
  10    0.365673846983866502E-02
  11    0.443394362926483154E+02
  12    0.578345060348510742E-01
  13    0.542209625244140625E+01

MAP Parameters
Dim No.        Parameter
   1    0.318416402339935303E+02
   2    0.153575985431671143E+02
   3    0.116692724921214963E-05
   4    0.714546322822570801E+02
   5    0.165226101875305176E+00
   6    0.100065439939498901E+03
   7    0.276953349113464355E+02
   8    0.187892217636108398E+02
   9    0.115112984180450439E+02
  10    0.238954104673924084E-01
  11    0.163959928750991821E+03
  12    0.524098575115203857E+00
  13    0.136200535297393799E+02
